0,저 짧은 몇 마디에서 인성이 보이넴 ..,1
1,개념없어 원래도 비호감 이었지만 하는 행동이나 말투 밉상 그자체ㅋㅋㅋㅋㅋ,1
2,정신분열 잼 ㅋㅋㅋ,1
3,실력에비해 오래갔다,1
4,거만이 하늘을 찌르네. 뭔짓을 하든 묻지도 따지지도 말고 찬양만 하고 돈이나 바쳐라 이건가?,1
5,점점... 왜저러냐 리더라는게 맨날 표정관리 못하고 기분에 따라 행동하고말하는거 진짜 별로다,1
6,말하는거 저급해...,1
7,말투가 왜저래ㅋㅋ,1
8,아무리 그래도 그렇지 말투가 저게 뭐냐;,1
9,왜저래 비꼰데?? 힘들면 그냥 조용히 탈퇴하세요~ 요즘 보면 얼굴도 어둡고 기분대로 행동하고 표정 다 드러내더만 이제 내리막길 ..다들 얼굴에 생기가 없고 초심도 잃은거 같고 ..배부르지?? 그만하고 쉬어라 다들 ..팬 많지? 금방 썰물처럼 다 휩쓸려간다 ~너희 아무것도 아니다~ 배부른 소리하고 자빠졌네 ~비호감이네 진짜,1
10,아무리봐도 잘못 뽑은 것 같다,1
11,인기있을때 높은곳에 있을 때 말을 좀 조심할 필요가 있을 거 같네요 표현이 참;;;,1
12,인기도 좋고 다 좋은데 말투가 왜 그래요 어린 팬들도 많은 사람이,1
13,진짜 예민하네;,1
14,와...좀 깨긴 깬다 스트레스여서 그럴 수도 있는데 그래도 라이브 동영상에서 저런 말을 했다는게....당신이 그 자리에 앉아있는 것도 그런 관심 때문인 것을....ㅉㅉ,1
15,윽..진짜 말투 이런다고???,1
16,말 더럽게 싸가지 없게 하네ㅋㅋㅋㅋㅋ 니 성격대로 피코짓 하지말고 이제 힘든척 울지마 이 가식덩어리야,1
17,멘탈이 상당히 불안정한듯. 제발 말과 글을 자제하고 행동을 조심해주길....,1
18,맨날 표정관리못하고 기분에따라 행동하고그리고 그만 우세요 ...,1
19,말은 조심히 써야 된다고 본다..그런 말투라면 모든행동이 가식적으로 느껴질거 같다..,1
20,어차피 이래저래 이미지 다 망가졌는데 열심히 쉴드 쳐라ㅋㅋㅋㅋㅋㅋ,1
21,인성 보소. ,1
22,요즘 얘네 무슨 특권의식이 이렇게 심한지 모르겠음. 회사 인성관리 한다고 하지 않았나...?,1
23,깨진 건 너 얼굴이다,1
24,개돌았네,1
25,아 싼티나,1
26,언행이 참 가벼워보이네 ㅋㅋ 그렇게 안봤는데 벌레보이면 무시했어야지 똑같이 벌레짓 하고있으니 ㅉ,1
27,죽어ㅇㅇ 도움안되는 쓰레기,1
28,싸가지 없을거 같네,1
29,인기도별로없으면서..,1
30,깨진건 너 와꾸뿐..,1
31,왜 인기있는지 솔직히 잘모르겠다 그냥 회사빨인거같음.,1
32,역시 침묵은 금이구나. 아름답고 기품있어 보이던 이미지가 한 순간에...,1
33,진짜 이상한 역도선수,1
34,말투가 어쩜.. 저렴하다 못해 천박하네 ㅉㅉ 침몰하겠구만 ㅋㅋ개극혐이다 진짜,1
35,젤 실력없는 사람이 이 사람이잖아 ㅋ,1
36,한심해서 할 말이없네. ,1
37,그자리가 넘 과분해보이네요,1
38,예전부터 느꼈던 건데 얘가 성격이 제일 별로. 이제 슬슬 연차 차니까 본성 나오는가보네. 인성 감이 온다. 솔까 바로 잊혀질 연예인 1번 아님? ㅋㅋㅋ,1
39,"앞으론 카메라 앞에서 이쁜 척 가식떨지 마세요~~역겨워요, 바닥 다 드러났어요~~~",1
40,얼굴도...움...연습생 10년 했는데 실력도..음... 운 좋아서 트와이스로 떠서 그러지... 망하는 걸그룹들이 얼마나 많은데 돈 많이 벌었다고 속 편하게 다 말하고 다니시네...,1
41,인기도 없고 끼도 실력도 없는데 말투까지 ㅋㅋㅋㅋ ,1
42,고음도 못하고 립싱크나 하는 주제에 인성도 쓰레기네 ㅎㄷㄷ,1
43,얘는 기럭지도 개짧아갖고 아줌마상에 참 어이가없다 ㅋㅋㅋ ,1
44,싼티 좔좔 저렴이네,1
45,그래도 말투는 좀 깬다,1
46,노래 같지도 않은거 들고 나와서 오래 해 먹었다. 이제 해체할때가 된듯,1
47,댓글 잘 안다는데.. 말투가  참.. 인성이 참... ,1
48,실력에 비해 많이 뜨기는 했지 그래서 건방져 보임,1
49,발음 연습이나 해 ㅋㅋㅋㅋ,1
50,모든 행동들이 가식적으로 느껴진다,1
51,저말투뭐냐? 연예인병 제대로네,1
52,얘네도 이제 다 됐네..... 애초에 할 수 있는 거에 비해 넘 떴다했지..,1
53,능력에 비해  너무 많은것을 가진 졸부아줌마느낌난다,1
54,방송이미지 믿으면 안됨ㅋ숨기려해도 실수하거나 순간적인 찰나에 원래 성격 인성 말투가 나오거든,1
55,솔직히 못배운거 티남.....ㅜㅜㅜㅜㅜㅠ 사람 본연의 티ㅜ 이런건 어쩔수없음ㅜㅜㅜㅠ,1
