싸가.지 없어서...패스...흥,1
그닥  눈만 배렸네  어좁인데...,1
해외 여행 못가본   서민들   기죽이는  것도  아니구   뭐하는건지   ㅉㅉㅉ,1
눈썹을 너무 진하게 그렸네...코디가 안티네,1
나이에 안맞는 화장하고 패션이네 아직도 20살인줄 착각하나,1
"이쁘긴개뿔,",1
진짜 평범하네,1
부럽네요 걱정없이 사는거같아 ㅜㅜ이쁘네요,0
이미지로 잘. 포장된 ㅋㅋㅋㅋㅋ,1
데뷔때   너나나나 아이유 할때  나아이유 별로다 했어는데 데뷔한지 꽤지난 2019년  난 아이유에게반해버려서 2020년 내벨소리는 아이유 밤편지...왜지금에서야  알아봤을까  ㅜㅜ,0
갓이유. 이말로 설명 끝 .,0
너무귀엽고예쁘다   (부럽),0
실력은 물론이고 미모도 지금 아이돌다바름,0
진짜 화보가 따로없네,0
요즘은 가수보다 배우 이미지가 연기가 많이 물 올랐어,0
엄청난 팬은 아니지만 ..... 사진보면 귀여움도 보이고 어떤사진은 독특한매력도보임.....롱런하길 응원합니다,0
왜케 예뻐ㅠㅠㅜ,0
사랑스럽다,0
아악 너무 예뻐ㅠㅠㅠ 사람이 어케 저러지,0
인형같이 이쁘네요,0
진짜 예뻐,0
못생겨서 인기있는것 같은데,1
마지막 사진에 엎드려 쉬고 있는 강아지 너무 귀엽다??????,0
역시 화보 같네~~,0
신봉선 닮은 촌닭뇬 같다.,1
몸이 초딩 매력 없네,1
얜 예전부터 팬클럽 유애나에서 어디어디에 기사 떴음 공지하면 우르르 몰려와 선플 점령한 후 공감찍는걸로 유명하잖아,1
일반인,1
어따 똥싸,1
지하철 흔녀,1
야 멸치 은혁 너 혼자만 먹기냐?,1
화보는  무슨...,1
ㅉㅉ,1
눈썹 찐하게그리니까 더이쁘네 보통은 찐하게그리면 부담스럽던데,0
이쁘군요~~ㅋ,0
개이쁘다 진짜,0
헉 너무 예쁘다...,0
21세기 대한민국  넘버원 여가수,0
이쁘다♡,0
누나  너무 예뻐요 ♡♡,0
스페인도 날씨  포근한가보네~ 즐겁게 지내다 와요~,0
이뿌다앙♥,0
잔머리까지 예쁘네,0
참...너란 여잔ㅡㅡ♡♡♡,0
사랑한다.계속 응원할께.니가 제일 이쁘다.,0
존예,0
연예인은 연예인이다 진짜 이쁘네,0
너무이뻐요 항상건강하시길.화이팅입니다,0
진짜 너무 예뻐ㅜㅜ 델루나 보다가 치였는데 아이유 자체가 너무 매력터지고 착해ㅜㅜ,0
만세♥♥,0
너무 예뻐요??,0
언니ㅜㅜ,0
역시 보라덕후?? 아이폰11 퍼플 찰떡이다,0
여행 사진 올려도 러블리하구만,0
예쁘당ㅎ,0
이뻐이뻐,0
이쁘네요.. 사진 찍은 장소가 궁금하네요!,0
항상 응원합니다. ??????,0
ㅜㅜ 보고싶습니다,0
진짜 많이 이뻐졌다,0
예쁘고 사랑스런 걸 보면 화나시는 분들이 많네요ㅋㅋㅋㅋㅋ 쨌든 참 예쁘고 사랑스럽네요,0
어머 너무 이뻐 ㅠㅠㅠㅠㅠ 지금도 충분히 탑이지만 앞으로도 승승장구 하시길!,0
천사님의 세계여행,0
대박 이쁘당 ㅜㅜㅜ,0
나도 스페인가서 사진찍었는데 같은곳 다른느낌... 너란아이 ...  너무이쁘다,0
일 마치고 조심히 돌아오세요 ^^ 천사같은 아이유,0
너무 이쁘다~~♡,0
이뽀죽겠어,0
예쁘고 귀엽고 예의있고 진따미와 촌스러움도 살짝 있네. 모든걸 갖춘 밸런스. 나의 아저씨 이후로 사랑함.,0
너무 사랑스럽네.,0
진짜 토끼인형같음베풀고 착하고,0
ㅠㅠㅠㅠㅠㅠㅠ 너무 예뻐ㅠㅠㅠㅠㅠㅠㅠ,0
이쁘다 댓글다는데 다운버튼 누르는 심보들은 머지??ㅋㅋ,0
어흨 개좋아 ㅠㅠ 종나이뻐 개이뻐,0
설 잘보내유,0
사진에서 따스함이 느껴진다 행복해지는 설선물 고마워♡,0
넘나 귀엽다 ㅜㅠ,0
요즘 시간의 바깥 노래에 꽂혀서 듣는데 최고입니다!,0
곱창 유행하겠네 예뿌다,0
마음도 선한 노래도 잘하는 작곡 작사도 어기서 꿀리지않는 아이유가 우리나라 여자 솔로가수 원탑임. 목상태 안좋아도 립싱크 한적이 없었음..대단 하다,0
론다도 갔구낭~^^넘 예쁘네요,0
최고다&^,0
몇 번의 구설에 휩싸였음에도 제 실력으로 당당히 정점을 찍은 우리나라 드문 여자 아티스트! 응원해요. 비슷한 시기에 데뷔한 또래와 현저히 차이나죠.,0
똑순이~ 못하는게 없어,0
이쁘네,0
존예탱..,0
넘 이쁘다...  신작 기대합니다.,0
아오 이쁘다  항상  건강하고  복 많이  받앙 ^-^,0
예뻐라...^^♡,0
귀여웡????????,0
한참 이쁠때다....부럽다.,0
역시 사진은 사람이 중요한거였어,0
마음씨도 고운 사람.,0
힐링많이 하고 와요^^,0
이쁘네~,0
귀여웡,0
예쁘고 속 깊은  아이유  언제나 화이팅!! 응원합니다 근데 요즘 많이 말랐네요ㅠ건강 생각해서 잘 챙겨드세요~~??,0
지은아 사랑해,0
징글징글하게 이쁘다 혼자 다해 이쁜거 귀여운거 착한거 혼자 다해,0
갓이유 이뻐요!!!~,0
빛 그 자체,0
갈수록 계속 이뻐지는거 실화??,0
귀여워ㅎㅎ,0
우와!!!  세상의 귀여움과 이쁨은 모두 가졌네^^와~~예쁘고 배경과 포즈 그리고 표정이 무슨 화보 같다^^,0
존예!!! 잘쉬고있구나,0
이뿌다..얼굴도..마음도..이뿌네 이뻐,0
진짜 너무예쁘다,0
하..열라 예뻐 찡짜...,0
"언제나 사랑받는 아이, you~~~~",0
너무 예뿌다 ㅠㅠㅠㅠ ,0
너무 예쁜 아이유 행복하자♡♡,0
참좋다,0
지난번 드라마 잘 봤는데 시즌 2는 없나요?,0
