comment,label
분명 잘나갈꺼라 생각했는데 내예상이 맞았네.최우수상 추카추카!^^,0
홍잠언은 붙을수있는 실럭이였다.단지 같은 또래의 그 안경쓴 리틀송해..그아이가 혼자떨어지면 받을 충격때문에잠언이도..같이 내보낸거지...아직..미래가 많은 아이니까~~~~내가 바로 홍잠언이다~~~~멋지다,0
훌륭한 사람 안되도 된다~ 그냥 너 하고 싶은거 하면서 행복하게 살아라,0
흉내 좀 낸다고 돈벌이연연하지말고 기본기 부터 잘 가르쳐라 에휴;;;여기서 우쭈쭈해주는 것들 중에 아무도 얘 인생 책임 안져준다...신동이라고 어릴때 방송나오는 애들 나중에 거의 다 조연전전하다 퇴장하더라,1
핵 노잼,1
헐... 이름이 잠언..  기독교 OUT!!,1
팬됐음!!,0
최고야  화이팅!!!,0
 멋져요....미스터 트롯은 네박자 음역대가 낮아서 실력을 다 못보여 줘서 탈락한거지 못 부른것이 아니예요.,0
수상 축하해요,0
자주자주 나오면 좋겠넹 귀엽당,0
최고다건강하게 잘 자라거라,0
크게 될 떡잎 대성하거라,0
최고 ....응원합니다.,0
최우수상 축하해♡♡,0
최우승감은  아니더만  그정도 잘부르지 못하더만,1
ㅋㅋ 이름 보면 귓속에서 자꾸 내가 바로 홍잠언이다 이거 맴돈다ㅋㅋㅋㅋㅋㅋㄱ귀여운 잠언이 화이팅,0
크면 잘될듯.트롯가수로 성공 확신~~ ^^ 화이팅!,0
하 !  하!  참 당차고도 귀엽다~.  부모님과 강원도 산골에서 살고 있다니 부모님도 보통이 아니시구나^^.,0
제2의 남진이닷.,0
지금 미스터트롯이 작년녹화분 보여주는가보다 잠언이보니 얼굴이 달라져  그새 큰거티나드라,0
즐거웟고 행복햇다♡,0
보면 우리아들생각남ㅋㅋㅋㅋ 흥해라!,0
노래자랑서 최우수상축하해  너는 유멍한가수될꺼다 건강하게 열심히공부해서 훌륭한가수되거라 사랑한다♡,0
쟤가 미스터 트롯에서 탈락한이유 .. 연습시간에 연습을 안하고 게으름 피웠기때문,1
짱~~너무이뻐~그새 좀 큰듯~ㅋ,0
최고다. 대성할거임. 벌써 대성이지만......화이팅,0
축하해여~??????미스터트롯 선곡의 아쉬움ㅠ..꼭 남진 나훈아를 잇는 멋진카수 되길 바래여?^^~,0
트롯 천재로 보여요~~설특집 방송에서 다시 노래하는 잠언이 보니 좋네요~~^^,0
화이팅~남자중의 남자 홍잠언 응원할께~,0
최고다,0
볼수록 신기하네요 우째저나이 에저포즈로 노래를 거침없이 부를수있는건지요 대단해요 너무기특하고 대단하다 화이팅이야,0
잠언이는 신동이야...자주보자ㅎ,0
크게 될거임,0
역시 최고네,0
화이팅♡♡♡♡♡미스터트롯 잠언이없어서 안봄,0
노래도 중요하지만 공부가 중요해~공부도 하면서 열심히해 미래가수다.열심히해서 꼭 가수가 되길 바래~ 화이팅!!♡♡오늘 최우수상 축하해~^^,0
니가 짱이다!!!!  미스터트롯은 다 깔어!!!,0
하고싶은 거 다 해 이모가  응원할게 !,0
아직 초딩이니까 공부 열심히 하고 나중에 커서 실용음악이나 한국전통음악을 공부하고 노래연습도 많이 해서 가수는 성인되서 충분히 할 수 있으니 노래에 대한 가능성이 매우 큰 가수가 될테니 미스터트룻에서 떨어졌다고 너무 실망하지말고..,0
대단해.. 떨어져서 아쉬웠눈데,0
홧팅!!!!!!!!,0
잘하더라 ㅎ 훗날 멋진가수될듯,0
잘했네~,0
끼가 대단하네~~기대되는 인물중에 1명이당~~^^ 미스트롯에서는 탈락했지만 더 큰 무대에  서기를 바래~~꼭 그렇게 될꺼구~~^^,0
나이도 어린데 참 속도 깊고 실력도 좋네~ 너무 너무 귀여운 잠언이 승승장구하길~^^,0
내가 많이 애낀다 잘자라다오~,0
너무 귀엽다ㅠㅠㅠ 최우수상 너무너무 축하해,0
너무 귀엽당 ㅠㅠ,0
이 아이는 잘 하는 아가예요 혹시나 아기라서 못한다고 생각하고 악플다시지 말아주세요 노래잘하고 무대매너도 좋아요,0
이새키 장군감이다.,0
우연히 봤는데 너무 귀여웠어요 노래도 잘하고,0
울~꼬마왕자님~~♡역쉬~♡.넘~넘~잘하네요~~최고 최고~훌륭한가수되길~.매일 매일 기도할께~~울~잠언군~다시보니~반가워서  눈물이다 나네요~~ㅎ,0
울다가 웃겄네! ㅋ상남자 ~~^---^;,0
요즘 너에게 푹빠져 있단다~~^^언제나 응원할게.,0
우리 잠언이 보기만해도 기분좋아♡♡ 상 받은거   많이 많이 축하해요?앞으로도 화~~팅하자~~^^,0
"역시 공중파에서 노래들어 보니, 획실히 신동 맞네요. 잘한다 ^^",0
어쩜 모든게 완벽할까 진짜 최고다??????????????,0
엄마미소 팡팡~귀여옹,0
역시 조영수 작곡가님이 극찬한 천재네 와~~대박 잘한다,0
얜 진짜 천재중에 천재...말이안나옴,0
어려서 탈락시킨거지ㅎ 여러가지 문제로~노래는 짱~멋진 가수가될거다~,0
애기 발성이 좋아서 성악해도 정말 잘할 거 같아요!,0
아가들한테 악플남기는것들은 대체 뭐냐 신경쓰지말고 올해에도 열심히 노래불러 화이팅,0
아구~귀여워,0
아마도 아직어려서 노래마다 다른 키잡는데 흔들리는건 어쩔수없고 앞으로 경연은 많고 더 커서 안정되면 다시도전하라는 의미였겠죠. 좀더커서 멋진 진정한 트롯가수도 도전해보길 바래봅니다,0
아직 9살밖에 안된 애기라서 그렇지 ..천재적 재능은 크면 어마무시 하게 발휘될듯..  앞으로가 기대되네여~,0
앞으로 기대되는 트롯 천재,0
사진만 봐도 야무진ㅋㅋㅋㅋㅋ,0
상남자! 의젓한게 잘 컷더라 ^^,0
바르게귀엽게사랑스럽게지금처럼만잘커주셈~!!넘좋앙~^^♡,0
"봤다, 봤다 너무 잘 하더라! 너무 사랑스럽더라! 포에버!!!",0
어린애가 넘 어른스럽고 노래도잘하고기대된다 커가는 모습이홧팅~~,0
오늘 전국노래자랑 나야나 부르는거 보니까 대박이더라..,0
뭐가 신동인지 모르겠네 박자도 느리고  노래도 못하던데...,1
미래의 대가수네요,0
미스터 트롯 떨어져서 울때 맴이 아팠는데 전국 노래자랑에서 최우수상 받고 좋아하는거 보니 기분 UP,0
넘귀여웡~,0
다시보기로 봤어요 트로트영재 맞아요 나야나 부르기 어려운 곡인데 맛을내 소화하더군요 축하해요~♡,0
될성부른나무는 떡잎부터 알아본다고 미래의 멋진 트롯가수가 될듯합니다... 응원해요,0
내가 바로 홍잠언이다~~~ 이 노래 잊을 수가 없음ㅋㅋㅋ 귀여워ㅋㅋㅋㅋ,0
너무 귀여워요 ~~,0
남자중에  남자!   응원합니다.  목소리에 힘도있고너무 멋져부러,0
"난 징그럽던데,, 너무 발랑 까져도 안좋음",1
까악~~~~~!!!!! 넘넘 귀여웡~~~!!!!,0
귀여움 한도초과! 이대로만 커다오,0
귀여워요~~~,0
귀여워ㅎㅎㅎㅎ,0
귀엽당,0
개귀여움,0
5959 귀여워♡♡♡,0
7살때 쉬즈곤 부른거 보면 보통애기는아닌거같아요.축하해요,0
